Title,Snippet,URL,Topics
Hậu ASEAN Cup 2024: Quả bóng vàng Việt Nam gọi tên ai? - Tuổi ...,"23 hours ago ... Tiến Linh trong trận đấu với Indonesia ở ASEAN Cup 2024 - Ảnh: N.K.. Hôm nay (8-1) là thời hạn chót ban tổ chức nhận phiếu bầu chọn ""Quả bóng ...",https://tuoitre.vn/hau-asean-cup-2024-qua-bong-vang-viet-nam-goi-ten-ai-20250108141207524.htm,"hours ago Tiến, Linh trong trận, đấu với Indonesia, ASEAN Cup Ảnh, Hôm nay là, thời hạn chót, ban tổ chức, nhận phiếu bầu, chọn Quả bóng"
Tranh cãi chuyện cô gái Việt cổ vũ cho đội tuyển bóng đá Thái Lan ...,"4 days ago ... Đóng góp của anh tại ASEAN Cup 2024, đặc biệt trong trận chung kết lượt đi với hai bàn thắng quan trọng, đã khẳng định vai trò quan trọng của ...",https://tuoitre.vn/tranh-cai-chuyen-co-gai-viet-co-vu-cho-doi-tuyen-bong-da-thai-lan-20250105140249452.htm,"quan trọng của, days ago Đóng, anh tại ASEAN, Cup đặc biệt, trong trận chung, kết lượt đi, với hai bàn, đã khẳng định, vai trò"
Trương Thảo Vy làm nên lịch sử cho bóng rổ Việt Nam ở giải bóng ...,"Apr 16, 2024 ... Tại sự kiện WBNA Draft sáng 16-4, VĐV Việt Nam Trương Thảo Vy đã được lựa chọn bởi đội Washinton Mystics thi đấu ở Giải bóng rổ nhà nghề Mỹ.",https://tuoitre.vn/truong-thao-vy-lam-nen-lich-su-cho-bong-ro-viet-nam-o-giai-bong-ro-nha-nghe-my-20240416111859668.htm,"Apr Tại sự, kiện WBNA Draft, sáng VĐV Việt, Nam Trương Thảo, Vy đã được, lựa chọn bởi, đội Washinton Mystics, thi đấu Giải, bóng rổ nhà, nghề Mỹ"
Supachok nói không biết bóng được cầu thủ Việt Nam đưa ra ngoài ...,"3 days ago ... Trên tài khoản mạng xã hội, tiền vệ Supachok Sarachat của Thái Lan đã chính thức lên tiếng về tình huống ghi bàn thắng đầy tranh cãi vào lưới ...",https://tuoitre.vn/supachok-noi-khong-biet-bong-duoc-cau-thu-viet-nam-dua-ra-ngoai-vi-co-nguoi-chan-thuong-2025010618150887.htm,"days ago Trên, tài khoản mạng, xã hội tiền, vệ Supachok Sarachat, của Thái Lan, đã chính thức, lên tiếng về, tình huống ghi, bàn thắng đầy, tranh cãi vào"
"Xem lại bàn thắng cuối trận, bóng từ từ lăn vào lưới tuyển Thái Lan ...",2 days ago ... Nguyễn Hai Long sút xa vào lưới trống ghi bàn thắng ấn định chiến thắng 3-2 cho đội tuyển Việt Nam và lên ngôi vô địch ASEAN Cup 2024.,https://tuoitre.vn/video/xem-lai-ban-thang-cuoi-tran-bong-tu-tu-lan-vao-luoi-tuyen-thai-lan-o-chung-ket-asean-cup-2024-173716.htm,"ghi bàn thắng, days ago Nguyễn, Hai Long sút, xa vào lưới, ấn định chiến, cho đội tuyển, Việt Nam và, lên ngôi vô, địch ASEAN Cup"
Thủ tướng: 'Bóng từ từ lăn vào lưới nói lên sức mạnh tuyển Việt ...,"3 days ago ... Đội tuyển kết thúc ASEAN Cup 2024 với 21 bàn thắng, thành tích tốt bậc nhất lịch sử tham dự giải (kỷ lục 21 bàn ghi năm 2002). Lần đầu tiên Việt ...",https://tuoitre.vn/thu-tuong-bong-tu-tu-lan-vao-luoi-noi-len-suc-manh-tuyen-viet-nam-lam-thang-hoa-chien-thang-20250106165136581.htm,"Cup với bàn, days ago Đội, tuyển kết thúc, thắng thành tích, tốt bậc nhất, lịch sử tham, dự giải kỷ, ghi năm Lần, đầu tiên Việt"
Bóng đá Việt Nam: Cần tận dụng bệ phóng ASEAN Cup - Tuổi Trẻ ...,"1 day ago ... Chức vô địch ASEAN Cup 2024 đã và đang tạo hiệu ứng tốt cho bóng đá Việt Nam lẫn người hâm mộ, sau hơn 2 năm trời rơi xuống đáy thất vọng vì ...",https://tuoitre.vn/bong-da-viet-nam-can-tan-dung-be-phong-asean-cup-20250108091104883.htm,"day ago Chức, vô địch ASEAN, Cup đã và, đang tạo hiệu, ứng tốt cho, bóng đá Việt, Nam lẫn người, hâm mộ sau, hơn năm trời, rơi xuống đáy, thất vọng vì"
"Sau 15 tấn rác, Triều Tiên thả tiếp bóng bay chứa rác sang Hàn Quốc","Jun 9, 2024 ... Triều Tiên vào tuần trước đã thả 3.500 quả bóng bay chứa 15 tấn rác trong nhiều ngày liên tiếp sang Hàn Quốc, mô tả đây là sự trả đũa cho các ...",https://tuoitre.vn/sau-15-tan-rac-trieu-tien-tha-tiep-bong-bay-chua-rac-sang-han-quoc-20240609094241082.htm,"Jun Triều Tiên, vào tuần trước, đã thả quả, bóng bay chứa, tấn rác trong, nhiều ngày liên, tiếp sang Hàn, Quốc mô tả, đây là sự, trả đũa cho"
Rodri và Aitana Bonmati đoạt Quả bóng vàng 2024 - Tuổi Trẻ Online,"Oct 29, 2024 ... Rodri đoạt Quả bóng vàng 2024 nhờ góp công lớn giúp Tây Ban Nha đoạt chức vô địch Euro 2024 - giải đấu anh được bầu là cầu thủ xuất sắc nhất ...",https://tuoitre.vn/rodri-va-aitana-bonmati-doat-qua-bong-vang-2024-20241029044404274.htm,"Oct Rodri đoạt, Quả bóng vàng, nhờ góp công, lớn giúp Tây, chức vô địch, Euro giải đấu, anh được bầu, là cầu thủ, xuất sắc nhất, Ban Nha"
Olympic 2024: Mỹ lập kỳ tích giành HCV bóng rổ lần thứ 5 liên tiếp ...,"Aug 11, 2024 ... Chung cuộc, Mỹ đánh bại Pháp với tỉ số 98-87 để giành HCV bóng rổ nam tại Olympic 2024. Điều này đặc biệt ý nghĩa với Lebron James (Mỹ), người ...",https://tuoitre.vn/olympic-2024-my-lap-ky-tich-gianh-hcv-bong-ro-lan-thu-5-lien-tiep-20240811103704497.htm,"Chung cuộc Mỹ, bại Pháp với, tỉ số để, giành HCV bóng, rổ nam tại, Olympic Điều này, đặc biệt nghĩa, Lebron James"
Tự hào 90 năm bóng đá nữ Việt Nam,"Jul 25, 2023 ... Theo tư liệu, đội bóng đá nữ đầu tiên của Việt Nam ra đời vào năm 1932, do ông Phan Khắc Sửu là một kỹ sư nông học thành lập.",https://nld.com.vn/the-thao/tu-hao-90-nam-bong-da-nu-viet-nam-202307242233394.htm,"Jul Theo tư, liệu đội bóng, đá nữ đầu, tiên của Việt, Nam ra đời, vào năm do, ông Phan Khắc, Sửu là một, kỹ sư nông, học thành lập"
Luka Modric: Quả bóng vàng và hành trình thành huyền thoại,"Jan 31, 2019 ... Hậu kỷ nguyên Messi-Ronaldo, Luka Modric chiến thắng Quả bóng vàng. (NLĐO) – Ronaldo về thứ nhì, Messi chỉ xếp thứ 5 ở cuộc bình chọn ""Quả bóng ...",https://nld.com.vn/the-thao/qua-bong-vang-2018-luka-modric-mot-lan-va-mai-mai-20190131121357131.htm,"nguyên Messi Ronaldo, thắng Quả bóng, về thứ nhì, Jan Hậu kỷ, Luka Modric chiến, cuộc bình chọn, vàng NLĐO, chỉ xếp"
Bóng bàn rung chuyển Olympic Tokyo,"Jul 27, 2021 ... Trận chung kết bóng bàn đôi nam nữ Olympic Tokyo mang về chiến thắng cho hai tay vợt chủ nhà Nhật Bản và là nỗi đau của các ""siêu nhân bàn ...",https://nld.com.vn/the-thao/dia-chan-bong-ban-olympic-tokyo-20210727082903162.htm,"kết bóng bàn, Jul Trận chung, đôi nam nữ, Olympic Tokyo mang, về chiến thắng, cho hai tay, vợt chủ nhà, Nhật Bản và, là nỗi đau, của các siêu"
"Hít bóng cười, thiếu nữ 15 tuổi tổn thương thần kinh tủy sống","Apr 17, 2023 ... Theo các bác sĩ, thời gian qua Bệnh viện Bãi Cháy đã tiếp nhận nhiều trường hợp bệnh nhân ngộ độc khí N2O do sử dụng bóng cười dài ngày. Các ...",https://nld.com.vn/suc-khoe/hit-bong-cuoi-thieu-nu-15-tuoi-te-bi-chan-tay-di-lai-kho-khan-20230417162148717.htm,"Apr Theo các, bác sĩ thời, gian qua Bệnh, viện Bãi Cháy, đã tiếp nhận, nhiều trường hợp, bệnh nhân ngộ, độc khí do, sử dụng bóng, cười dài ngày"
