Title,Snippet,URL,Topics
Bộ trưởng Công an: Mạnh dạn đưa ra khỏi vị trí các cán bộ không ...,"2 days ago ... Theo Bộ Công an, ngày 7-1, Đại tướng Lương Tam Quang - ủy viên Bộ Chính trị, bộ trưởng Bộ Công an - đã dự, chỉ đạo tại Hội nghị tổng kết công ...",https://tuoitre.vn/bo-truong-cong-an-manh-dan-dua-ra-khoi-vi-tri-cac-can-bo-khong-du-pham-chat-nang-luc-uy-tin-2025010719020733.htm,"days ago Theo, Tam Quang, B C, ng an, y 7, 1 i, vi n, Ch nh, tr b, d ch, o t"
Người phát ngôn Bộ Công an nói về vụ lãnh đạo Ngân hàng ACB bị ...,"21 hours ago ... Bộ Công an có hướng xử lý các vụ việc tương tự thế nào khi đích nhắm đến là các doanh nhân nổi tiếng? Trong tương lai, có biện pháp gì để ngăn ...",https://tuoitre.vn/nguoi-phat-ngon-bo-cong-an-noi-ve-vu-lanh-dao-ngan-hang-acb-bi-tung-tin-danh-bac-20250108152600818.htm,"21 hours, c doanh, ng Trong, ago B, x l, v vi, t th, n o, khi ch, nh m, i ti, ph p"
Phạm nhân chết chưa rõ nguyên nhân tại trại giam Công an tỉnh ...,20 hours ago ... bị chuyển từ nhà tạm giữ Công an huyện Hòn Đất đến trại tạm giam Công an tỉnh Kiên Giang. Phạm nhân C. bị giam tại buồng giam T3 cùng với 11 ...,https://tuoitre.vn/pham-nhan-chet-chua-ro-nguyen-nhan-tai-trai-giam-cong-an-tinh-kien-giang-20250108164816667.htm,"m giam, 20 hours, b chuy, n Giang, t nh, gi C, ng an, tr i, T3 c"
Trưởng Công an huyện Di Linh được bổ nhiệm làm phó giám đốc ...,"Oct 21, 2024 ... Ngày 21-10, Công an tỉnh Lâm Đồng tổ chức lễ công bố quyết định về công tác cán bộ. Thừa ủy quyền của bộ trưởng Bộ Công an, đại tá Trương Minh ...",https://tuoitre.vn/truong-cong-an-huyen-di-linh-duoc-bo-nhiem-lam-pho-giam-doc-cong-an-tinh-lam-dong-20241021094707783.htm,"21 2024, ng Minh, Ng y, 10 C, an t, nh L, ch c, b quy, Th a"
Phó chủ tịch Quốc hội: Bộ Công an cần phối hợp kiểm tra tín hiệu ...,"3 days ago ... Tuy nhiên, ông Phương đề nghị Bộ Công an cần phối hợp các cấp, ngành kiểm tra điều kiện kỹ thuật tín hiệu đèn, ""không để người dân bị oan"", vàng ...",https://tuoitre.vn/pho-chu-tich-quoc-hoi-bo-cong-an-can-phoi-hop-kiem-tra-tin-hieu-den-khong-de-nguoi-dan-bi-oan-20250106103043645.htm,"3 days, ago Tuy, nhi n, ng Ph, ngh B, an c, ph i, h p, nh ki, m tra, k thu, t t, hi u, b oan"
Giám đốc Công an tỉnh Ninh Bình làm giám đốc Công an tỉnh Sơn ...,"Nov 6, 2024 ... Đại tá Đặng Trọng Cường, giám đốc Công an tỉnh Ninh Bình được điều động, đến nhận công tác và giữ chức vụ giám đốc Công an tỉnh Sơn La. · Bộ ...",https://tuoitre.vn/giam-doc-cong-an-tinh-ninh-binh-lam-giam-doc-cong-an-tinh-son-la-20241106135408341.htm,"6 2024, nh Ninh, i t, ng Tr, gi m, c C, S n, La B"
Cựu trưởng Công an quận Tây Hồ Phùng Anh Lê lãnh 7 năm 6 ...,"Aug 14, 2022 ... Bị cáo Nguyễn Đức Châu - cựu đội trưởng cảnh sát hình sự - bị tuyên án tù bằng thời hạn tạm giam - 10 tháng 28 ngày - trả tự do ngay tại tòa tội ...",https://tuoitre.vn/cuu-truong-cong-an-quan-tay-ho-phung-anh-le-lanh-7-nam-6-thang-tu-toi-nhan-hoi-lo-20220814110859583.htm,"14 2022, o Nguy, m giam, do ngay, B c, Ch u, i tr, nh s, t h, b tuy, n n, ng th"
3 cựu công an bắn dê của dân lãnh từ 7-8 tháng tù - Tuổi Trẻ Online,"Jan 19, 2024 ... Bản án xác định, trưa 26-6-2023, ba cựu cán bộ công an gồm Nguyễn Văn Nhân, Bùi Đình Việt và Bùi Tiến Tùng đi ô tô, mang theo một khẩu súng hơi ...",https://tuoitre.vn/3-cuu-cong-an-ban-de-cua-dan-lanh-tu-7-8-thang-tu-20240119163044533.htm,"mang theo, 19 2024, 6 2023, m Nguy, B n, x c, nh tr, a 26, ng an, Vi t, i Ti, kh u"
Điều động phó giám đốc Công an tỉnh Quảng Nam làm giám đốc ...,"Oct 16, 2024 ... Tại buổi lễ, thừa ủy quyền của bộ trưởng Bộ Công an, lãnh đạo Cục Tổ chức cán bộ đã công bố quyết định của bộ trưởng Bộ Công an về điều động và ...",https://tuoitre.vn/dieu-dong-pho-giam-doc-cong-an-tinh-quang-nam-lam-giam-doc-cong-an-tinh-dak-nong-20241016170804976.htm,"16 2024, T i, l th, a y, quy n, b tr, ng B, nh o, C c, an v"
Quốc hội sẽ phê chuẩn miễn nhiệm bộ trưởng Bộ Công an đối với ...,"May 21, 2024 ... Chiều 21-5, Tổng thư ký Quốc hội, Chủ nhiệm Văn phòng Quốc hội Bùi Văn Cường đã trình bày tờ trình điều chỉnh chương trình kỳ họp thứ 7, Quốc ...",https://tuoitre.vn/quoc-hoi-se-phe-chuan-mien-nhiem-bo-truong-bo-cong-an-doi-voi-dai-tuong-to-lam-20240520090106909.htm,"21 2024, Chi u, 5 T, ng th, k Qu, c h, i Ch, nhi m, V n, tr nh, b y"
