Title,Snippet,URL,Topics,Categories,Tags
"Thể thao – tin tức thể mới nhất, lịch thi đấu hôm nay","Tin tức thể thao mới nhất hôm nay, lịch thi đấu ở Việt Nam và quốc tế, bảng xếp hạng các môn thể thao...",https://tuoitre.vn/the-thao.htm,"mới nhất, lịch thi đấu ở, quốc tế bảng, môn thể thao","Chính trị, Thể thao","Tin tức thể thao, thể thao mới, môn thể thao, Tin tức, thể thao, hôm nay, lịch, Việt Nam, bảng"
Chuyên gia y học thể thao Bệnh viện Vinmec: Xuân Son đang tập đi ...,"17 giờ trước ... Vua phá lưới ASEAN Cup 2024 đã tự tin với những bước đi vững vàng. Mỗi bước tiến không chỉ đánh dấu sự hồi phục về thể chất, mà còn thể hiện ý ...",https://tuoitre.vn/chuyen-gia-y-hoc-the-thao-bv-vinmec-xuan-son-dang-tap-di-se-tro-lai-phong-do-dinh-cao-20250110164147312.htm,"giờ trước Vua, ASEAN Cup, chỉ đánh dấu sự, thể hiện ý, Mỗi bước tiến",Chính trị,"phá lưới ASEAN, bước đi vững vàng, đánh dấu sự, thể hiện ý, trước, ASEAN, 2024, bước đi, bước tiến, thể chất"
Báo Thái thừa nhận: Bàn thắng của Supachok không đúng tinh thần ...,"5 ngày trước ... Trong bài viết phân tích sau trận chung kết lượt về ASEAN Cup 2024 tối 5-1, tờ báo thể thao hàng đầu Thái Lan Siam Sports đã thừa nhận: ""Bàn ...",https://tuoitre.vn/bao-thai-thua-nhan-ban-thang-cua-supachok-khong-dung-tinh-than-the-thao-20250106080737904.htm,"ASEAN Cup tối, bài viết, Thái Lan Siam Sports, trận chung kết, thừa nhận Bàn, tờ báo thể thao","Chính trị, Thể thao","phân tích sau, sau trận, trận chung kết, lượt về ASEAN, tối 5-1, tờ báo thể thao, thể thao hàng đầu, ngày trước, trận, chung kết"
"Báo Tuổi Trẻ - Tin tức mới nhất, tin nhanh, tin nóng 24h","Tin tức mới nhất trên các lĩnh vực chính trị, xã hội, văn hóa, thể thao ở Việt Nam và quốc tế. Tin tức thời sự mỗi ngày sẽ được Tuổi Trẻ Online liên tục cập ...",https://tuoitre.vn/,"văn hóa, mới nhất, Tuổi Trẻ Online, thể thao ở, thời sự mỗi, liên tục cập, lĩnh vực chính trị, quốc tế Tin tức","Văn hóa, Xã hội, Thể thao","Tin tức mới, lĩnh vực chính trị, văn hóa, Tin tức, lĩnh vực, chính trị, xã hội, thể thao, Việt Nam, quốc tế"
Đại hội thể thao trong nhà và võ thuật châu Á 2024 bị hủy bỏ vì chủ ...,"19 thg 8, 2024 ... Đại hội thể thao trong nhà và võ thuật châu Á 2024 bị hủy bỏ vì chủ nhà Thái Lan thiếu tiền · Tối 19-8, Hội đồng Olympic châu Á (OCA) xác nhận ...",https://tuoitre.vn/dai-hoi-the-thao-trong-nha-va-vo-thuat-chau-a-2024-bi-huy-bo-vi-chu-nha-thai-lan-thieu-tien-20240819215202581.htm,"châu Á bị, thiếu tiền Tối, Hội đồng Olympic, OCA xác nhận, thể thao trong nhà, thg Đại hội, hủy bỏ vì","Chính trị, Thể thao","Đại hội thể thao, võ thuật châu, thiếu tiền, tiền ·, 2024, Đại hội, thể thao, võ thuật, châu, chủ nhà"
Thể thao sẽ phải chia mấy? - Tuổi Trẻ Online,"12 thg 4, 2023 ... Công bằng cho nữ giới? IAAF không phải tổ chức thể thao duy nhất siết chặt quy định với VĐV chuyển giới. Năm ngoái, Liên đoàn Thể thao dưới nước ...",https://cuoituan.tuoitre.vn/the-thao-se-phai-chia-may-20230406084411776.htm,"VĐV chuyển giới, dưới nước, thg Công bằng cho, IAAF không phải, tổ chức thể thao, duy nhất siết chặt, Năm ngoái Liên đoàn","Chính trị, Thể thao","IAAF không phải, tổ chức thể thao, thể thao duy nhất, chuyển giới, Liên đoàn Thể thao, 2023, nữ giới, không phải, thể thao, giới"
ESports có phải là thể thao? - Tuổi Trẻ Online,"13 thg 4, 2016 ... Trước tiên, cần phân biệt rõ một điều: không phải bất kỳ loại game điện tử nào cũng được xem là thể thao. Chỉ có một số ít game được Hiệp hội ...",https://cuoituan.tuoitre.vn/esports-co-phai-la-the-thao-1081168.htm,"một số, loại game, thg Trước tiên cần, phân biệt rõ, xem là thể thao, điều không phải","Chính trị, Thể thao","2016, Trước tiên, điều, loại, điện tử, thể thao, game"
Video: Giám đốc Trung tâm Y học thể thao Vinmec nói về ca phẫu ...,"4 ngày trước ... Nhóm bác sĩ của Trung tâm Y học thể thao đã có cuộc trả lời báo chí ngắn trưa nay 7-1. Theo GS.TS Trần Trung Dũng - giám đốc trung tâm, ...",https://tuoitre.vn/video/video-giam-doc-trung-tam-y-hoc-the-thao-vinmec-noi-ve-ca-phau-thuat-cho-xuan-son-173751.htm,"GS TS Trần, trước Nhóm, ngắn trưa nay, cuộc trả lời, Trung tâm Y học","Chính trị, Thể thao","Nhóm bác sĩ, Trung tâm Y học, Y học thể thao, có cuộc, trả lời báo chí, báo chí ngắn, Theo GS., GS. TS, giám đốc trung tâm, ngày trước"
Tin tức thể thao sáng 11-1: Leverkusen chỉ còn kém Bayern 1 điểm ...,4 giờ trước ... Đoàn quân của Xabi Alonso kém đội đầu bảng Bayern Munich 1 điểm nhưng đá nhiều hơn 1 trận. Rashford quan tâm đến AC Milan. Tin tức thể thao sáng ...,https://tuoitre.vn/tin-tuc-the-thao-sang-11-1-leverkusen-chi-con-kem-bayern-1-diem-20250111060653358.htm,"giờ trước Đoàn, Bayern Munich điểm, Xabi Alonso kém, đến AC Milan, trận Rashford, nhưng đá nhiều, thể thao sáng, đội đầu bảng","Chính trị, Thể thao","Đoàn quân, đội đầu bảng, Tin tức thể thao, thể thao sáng, trước, Đoàn, quân, Xabi, Alonso, đầu bảng"
"Chơi thể thao để giảm stress, tại sao không? - Tuổi Trẻ Online","24 thg 5, 2018 ... Tập thể thao sẽ giúp cải thiện giấc ngủ của chúng ta, làm cho giấc ngủ đến nhanh và sâu hơn mà chúng ta đã biết mất ngủ là nguyên nhân của ...",https://tuoitre.vn/choi-the-thao-de-giam-stress-tai-sao-khong-20180524175908886.htm,"đến nhanh, biết mất ngủ, giúp cải thiện, thg Tập thể thao, chúng ta làm cho","Xã hội, Thể thao","cải thiện giấc ngủ, biết mất ngủ, là nguyên nhân, 2018, giấc ngủ, mất ngủ, nguyên nhân"
