Title,Snippet,URL,Topics,Categories,Tags
"Thể thao – tin tức thể mới nhất, lịch thi đấu hôm nay","Tin tức thể thao mới nhất hôm nay, lịch thi đấu ở Việt Nam và quốc tế, bảng xếp hạng các môn thể thao...",https://tuoitre.vn/the-thao.htm,"mới nhất, lịch thi đấu ở, quốc tế bảng, môn thể thao",Thể thao,"Tin tức thể thao, thể thao mới, môn thể thao, Tin tức, thể thao, hôm nay, lịch, Việt Nam, bảng"
Báo Thái thừa nhận: Bàn thắng của Supachok không đúng tinh thần ...,"4 ngày trước ... Trong bài viết phân tích sau trận chung kết lượt về ASEAN Cup 2024 tối 5-1, tờ báo thể thao hàng đầu Thái Lan Siam Sports đã thừa nhận: ""Bàn ...",https://tuoitre.vn/bao-thai-thua-nhan-ban-thang-cua-supachok-khong-dung-tinh-than-the-thao-20250106080737904.htm,"ASEAN Cup tối, bài viết, Thái Lan Siam Sports, trận chung kết, thừa nhận Bàn, tờ báo thể thao",Thể thao,"phân tích sau, sau trận, trận chung kết, lượt về ASEAN, tối 5-1, tờ báo thể thao, thể thao hàng đầu, ngày trước, trận, chung kết"
Đại hội thể thao trong nhà và võ thuật châu Á 2024 bị hủy bỏ vì chủ ...,"19 thg 8, 2024 ... Đại hội thể thao trong nhà và võ thuật châu Á 2024 bị hủy bỏ vì chủ nhà Thái Lan thiếu tiền · Tối 19-8, Hội đồng Olympic châu Á (OCA) xác nhận ...",https://tuoitre.vn/dai-hoi-the-thao-trong-nha-va-vo-thuat-chau-a-2024-bi-huy-bo-vi-chu-nha-thai-lan-thieu-tien-20240819215202581.htm,"châu Á bị, thiếu tiền Tối, Hội đồng Olympic, OCA xác nhận, thể thao trong nhà, thg Đại hội, hủy bỏ vì",Thể thao,"Đại hội thể thao, võ thuật châu, thiếu tiền, tiền ·, 2024, Đại hội, thể thao, võ thuật, châu, chủ nhà"
Thể thao sẽ phải chia mấy? - Tuổi Trẻ Online,"12 thg 4, 2023 ... Công bằng cho nữ giới? IAAF không phải tổ chức thể thao duy nhất siết chặt quy định với VĐV chuyển giới. Năm ngoái, Liên đoàn Thể thao dưới nước ...",https://cuoituan.tuoitre.vn/the-thao-se-phai-chia-may-20230406084411776.htm,"VĐV chuyển giới, dưới nước, thg Công bằng cho, IAAF không phải, tổ chức thể thao, duy nhất siết chặt, Năm ngoái Liên đoàn",Thể thao,"IAAF không phải, tổ chức thể thao, thể thao duy nhất, chuyển giới, Liên đoàn Thể thao, 2023, nữ giới, không phải, thể thao, giới"
ESports có phải là thể thao? - Tuổi Trẻ Online,"13 thg 4, 2016 ... Trước tiên, cần phân biệt rõ một điều: không phải bất kỳ loại game điện tử nào cũng được xem là thể thao. Chỉ có một số ít game được Hiệp hội ...",https://cuoituan.tuoitre.vn/esports-co-phai-la-the-thao-1081168.htm,"một số, loại game, thg Trước tiên cần, phân biệt rõ, xem là thể thao, điều không phải",Thể thao,"2016, Trước tiên, điều, loại, điện tử, thể thao, game"
Video: Giám đốc Trung tâm Y học thể thao Vinmec nói về ca phẫu ...,"3 ngày trước ... Nhóm bác sĩ của Trung tâm Y học thể thao đã có cuộc trả lời báo chí ngắn trưa nay 7-1. Theo GS.TS Trần Trung Dũng - giám đốc trung tâm, ...",https://tuoitre.vn/video/video-giam-doc-trung-tam-y-hoc-the-thao-vinmec-noi-ve-ca-phau-thuat-cho-xuan-son-173751.htm,"GS TS Trần, trước Nhóm, ngắn trưa nay, cuộc trả lời, Trung tâm Y học",Thể thao,"Nhóm bác sĩ, Trung tâm Y học, Y học thể thao, có cuộc, trả lời báo chí, báo chí ngắn, Theo GS., GS. TS, giám đốc trung tâm, ngày trước"
"Chơi thể thao để giảm stress, tại sao không? - Tuổi Trẻ Online","24 thg 5, 2018 ... Tập thể thao sẽ giúp cải thiện giấc ngủ của chúng ta, làm cho giấc ngủ đến nhanh và sâu hơn mà chúng ta đã biết mất ngủ là nguyên nhân của ...",https://tuoitre.vn/choi-the-thao-de-giam-stress-tai-sao-khong-20180524175908886.htm,"đến nhanh, biết mất ngủ, giúp cải thiện, thg Tập thể thao, chúng ta làm cho",Thể thao,"cải thiện giấc ngủ, biết mất ngủ, là nguyên nhân, 2018, giấc ngủ, mất ngủ, nguyên nhân"
Trưởng đoàn thể thao Việt Nam nói gì sau thất bại tại Olympic 2024 ...,"9 thg 8, 2024 ... Trưởng đoàn thể thao Việt Nam nói gì sau thất bại tại Olympic 2024? · Ông Đặng Hà Việt - cục trưởng Cục Thể dục thể thao, trưởng đoàn thể thao ...",https://tuoitre.vn/truong-doan-the-thao-viet-nam-noi-gi-sau-that-bai-tai-olympic-2024-2024080922584539.htm,"trưởng đoàn, Đặng Hà Việt, Olympic Ông, Cục Thể dục",Thể thao,"Trưởng đoàn thể thao, nói gì sau, sau thất bại, cục trưởng Cục, Thể dục thể, trưởng đoàn, đoàn thể thao, 2024, Trưởng đoàn, thể thao"
Những sự kiện thể thao đáng chú ý năm 2025 - Tuổi Trẻ Online,"1 thg 1, 2025 ... Dù không có World Cup và Euro nhưng năm 2025 hứa hẹn vẫn là một năm sôi động đối với các tín đồ thể thao. Dưới đây là những sự kiện thể thao ...",https://tuoitre.vn/nhung-su-kien-the-thao-dang-chu-y-nam-2025-20241231224432311.htm,"thg Dù, Euro nhưng năm, vẫn là một, tín đồ thể thao",Thể thao,"tín đồ thể thao, sự kiện thể thao, 2025, World, Euro, tín đồ, thể thao, Dưới đây, sự kiện"
Đoàn thể thao Việt Nam lên đường dự Olympic Paris 2024 - Tuổi ...,"23 thg 7, 2024 ... Đêm 23-7, trưởng đoàn thể thao Việt Nam tại Olympic 2024 - ông Đặng Hà Việt - cùng các cán bộ, bác sĩ của đoàn đã lên đường sang Paris, Pháp.",https://tuoitre.vn/doan-the-thao-viet-nam-len-duong-du-olympic-paris-2024-20240723225311409.htm,"trưởng đoàn, Đặng Hà Việt, sang Paris Pháp, thg Đêm, Olympic ông, cùng các cán bộ",Thể thao,"trưởng đoàn, đoàn thể thao, 2024, trưởng, đoàn, thể thao, Việt Nam, Olympic, Đặng, Việt"
